0.062814,0.059209,0.057035,0.055657,0.055034,0.055382,0.057218,0.061476,0.069671,0.08409,0.10798,0.14578,0.20328,0.28775,0.40795,0.57412,0.79789,1.0921,1.4707,1.9483,2.5404,3.2624,4.1302,5.1593,6.365,7.7618,9.3638,11.184,13.234,15.525,18.067,20.867,23.934,27.272,30.888,34.782,38.959,43.418,48.16,53.183,58.484,64.061,69.908,76.021,82.393,89.018,95.888,103,110.33,117.07
0.058759,0.054063,0.051512,0.050063,0.049883,0.051813,0.05751,0.069741,0.092747,0.13268,0.19796,0.29975,0.45204,0.67179,0.97883,1.3957,1.9473,2.6605,3.5639,4.6868,6.0593,7.7114,9.6726,11.972,14.636,17.69,21.159,25.064,29.423,34.254,39.57,45.384,51.704,58.536,65.884,73.75,82.133,91.03,100.44,110.34,120.74,131.63,142.98,154.8,167.05,179.73,192.82,206.3,220.14,232.83
0.055748,0.050483,0.048208,0.047729,0.049872,0.05701,0.073432,0.10593,0.16447,0.26289,0.41928,0.65648,1.0019,1.4874,2.1488,3.0253,4.1587,5.5927,7.3719,9.5412,12.145,15.225,18.822,22.975,27.717,33.081,39.093,45.778,53.154,61.238,70.041,79.571,89.832,100.82,112.54,124.98,138.14,151.99,166.53,181.74,197.59,214.08,231.17,248.83,267.06,285.81,305.06,324.77,344.91,363.21
0.053127,0.047444,0.046061,0.048376,0.05718,0.078643,0.12321,0.20664,0.35095,0.58514,0.94517,1.4741,2.2214,3.2416,4.5935,6.3386,8.5395,11.259,14.558,18.496,23.126,28.501,34.666,41.659,49.517,58.267,67.932,78.528,90.066,102.55,115.98,130.36,145.67,161.9,179.03,197.05,215.92,235.62,256.13,277.4,299.42,322.13,345.51,369.51,394.1,419.24,444.89,471,497.5,521.3
0.050779,0.045066,0.046146,0.05597,0.082831,0.14237,0.25932,0.46887,0.8173,1.362,2.1703,3.3186,4.8896,6.97,9.6484,13.012,17.146,22.129,28.035,34.929,42.867,51.898,62.062,73.387,85.894,99.596,114.5,130.6,147.88,166.34,185.94,206.67,228.48,251.35,275.24,300.1,325.9,352.57,380.09,408.39,437.42,467.14,497.5,528.43,559.9,591.84,624.2,656.93,689.93,719.13
0.048836,0.044449,0.052781,0.083598,0.15982,0.32008,0.6209,1.1372,1.9612,3.2,4.9712,7.4005,10.615,14.741,19.897,26.193,33.726,42.582,52.83,64.526,77.709,92.405,108.63,126.38,145.64,166.4,188.63,212.28,237.31,263.68,291.33,320.19,350.22,381.34,413.5,446.61,480.62,515.46,551.06,587.35,624.26,661.73,699.69,738.08,776.83,815.87,855.16,894.61,934.12,968.41
0.047834,0.049052,0.079328,0.17046,0.3825,0.8069,1.5666,2.8123,4.7157,7.4624,11.24,16.237,22.626,30.565,40.189,51.609,64.91,80.152,97.372,116.58,137.77,160.92,185.99,212.92,241.64,272.09,304.18,337.82,372.93,409.41,447.16,486.1,526.12,567.13,609.03,651.74,695.16,739.21,783.8,828.84,874.26,919.97,965.91,1012,1058.1,1104.3,1150.4,1196.4,1242,1280.8
0.049434,0.069814,0.1674,0.43321,1.0162,2.1212,3.999,6.9309,11.209,17.124,24.939,34.892,47.179,61.951,79.312,99.323,122,147.34,175.27,205.74,238.63,273.85,311.25,350.72,392.1,435.25,480.03,526.3,573.9,622.71,672.58,723.38,774.99,827.28,880.13,933.45,987.11,1041,1095.1,1149.2,1203.3,1257.2,1311,1364.5,1417.7,1470.5,1522.8,1574.6,1625.6,1667.6
0.059246,0.1431,0.44801,1.2155,2.7928,5.6068,10.128,16.828,26.144,38.459,54.065,73.185,95.951,122.41,152.55,186.29,223.49,263.99,307.59,354.07,403.21,454.76,508.51,564.2,621.63,680.56,740.79,802.13,864.37,927.35,990.91,1054.9,1119.1,1183.5,1247.8,1312.1,1376.1,1439.8,1503.1,1565.9,1628,1689.6,1750.3,1810.3,1869.4,1927.6,1984.9,2041.1,2096.1,2139.4
0.097809,0.39222,1.3307,3.5109,7.6818,14.651,25.195,39.982,59.526,84.182,114.11,149.34,189.77,235.19,285.3,339.76,398.19,460.19,525.36,593.3,663.62,735.97,810.01,885.4,961.86,1039.1,1116.9,1195,1273.2,1351.3,1429.1,1506.6,1583.4,1659.6,1735,1809.5,1882.9,1955.3,2026.6,2096.6,2165.3,2232.7,2298.7,2363.2,2426.3,2487.9,2548,2606.4,2663.1,2705.4
0.24175,1.233,4.0744,10.126,20.835,37.512,61.177,92.49,131.74,178.9,233.66,295.54,363.94,438.16,517.48,601.17,688.54,778.92,871.71,966.33,1062.3,1159.1,1256.4,1353.8,1451,1547.7,1643.7,1738.8,1832.7,1925.3,2016.5,2106.1,2194.1,2280.3,2364.7,2447.3,2527.9,2606.5,2683.1,2757.7,2830.2,2900.6,2968.9,3035.1,3099.2,3161.2,3221,3278.7,3334.1,3371.8
0.77676,4.051,12.467,28.767,55.272,93.533,144.25,207.36,282.18,367.68,462.5,565.29,674.65,789.26,907.89,1029.5,1153,1277.6,1402.6,1527.4,1651.3,1774.1,1895.4,2014.7,2131.9,2246.8,2359.2,2469,2576.1,2680.3,2781.7,2880.2,2975.8,3068.4,3158.1,3244.8,3328.5,3409.4,3487.3,3562.3,3634.5,3703.8,3770.4,3834.1,3895.2,3953.6,4009.3,4062.4,4112.6,4141.7
2.7679,13.397,37.628,79.881,142.53,225.85,328.56,448.31,582.29,727.63,881.41,1041.2,1204.8,1370.5,1536.6,1701.9,1865.5,2026.6,2184.5,2338.9,2489.3,2635.6,2777.5,2914.9,3047.8,3176.1,3299.9,3419.1,3533.8,3644,3749.9,3851.4,3948.7,4041.8,4130.9,4215.9,4297.1,4374.4,4448,4518,4584.4,4647.4,4706.9,4763.2,4816.2,4866.1,4912.9,4956.7,4997.3,5013
10.189,43.965,111.16,215.38,354.95,524.83,718.52,929.4,1151.5,1379.8,1610.2,1839.5,2065.6,2286.7,2501.6,2709.5,2910,3102.8,3287.7,3464.7,3633.9,3795.4,3949.5,4096.2,4235.8,4368.6,4494.7,4614.5,4728,4835.5,4937.2,5033.4,5124.2,5209.9,5290.5,5366.3,5437.5,5504.1,5566.5,5624.6,5678.7,5728.9,5775.3,5818.1,5857.3,5893.2,5925.7,5955.1,5981,5978.2
